iter	Passed	Remaining
448	1131	1387
449	1132	1384
450	1133	1380
451	1135	1376
452	1139	1376
453	1142	1374
454	1144	1371
455	1148	1370
456	1150	1366
457	1154	1366
458	1156	1363
459	1158	1360
460	1160	1357
461	1162	1353
462	1164	1351
463	1171	1352
464	1172	1349
465	1174	1346
466	1176	1343
467	1178	1340
468	1183	1339
469	1186	1338
470	1188	1335
471	1191	1333
472	1194	1330
473	1196	1327
474	1200	1327
475	1202	1323
476	1205	1321
477	1207	1318
478	1211	1317
479	1216	1317
480	1218	1315
481	1222	1313
482	1223	1310
483	1226	1307
484	1229	1305
485	1232	1303
486	1236	1302
487	1238	1299
488	1239	1295
489	1241	1292
490	1244	1289
491	1246	1286
492	1247	1283
493	1249	1280
494	1251	1276
495	1252	1273
496	1254	1269
497	1255	1265
498	1257	1262
499	1260	1260
500	1262	1257
501	1264	1254
502	1266	1251
503	1268	1248
504	1270	1245
505	1271	1241
506	1274	1239
507	1276	1236
508	1278	1232
509	1280	1229
510	1281	1226
511	1283	1223
512	1285	1220
513	1286	1216
514	1290	1214
515	1291	1211
516	1293	1208
517	1294	1204
518	1296	1201
519	1297	1197
520	1299	1194
521	1300	1190
522	1302	1188
523	1304	1185
524	1306	1181
525	1307	1178
526	1309	1175
527	1310	1171
528	1312	1168
529	1313	1164
530	1314	1161
531	1316	1157
532	1319	1156
533	1320	1152
534	1322	1149
535	1323	1145
536	1325	1142
537	1326	1139
538	1327	1135
539	1329	1132
540	1330	1128
541	1334	1127
542	1336	1124
543	1338	1121
544	1339	1118
545	1341	1115
546	1342	1112
547	1344	1108
548	1345	1105
549	1348	1103
550	1350	1100
551	1352	1097
552	1353	1094
553	1355	1091
554	1356	1087
555	1358	1084
556	1359	1081
557	1360	1077
558	1364	1076
559	1366	1073
560	1367	1070
561	1369	1067
562	1371	1064
563	1372	1061
564	1373	1057
565	1375	1054
566	1377	1051
567	1379	1049
568	1384	1048
569	1386	1045
570	1387	1042
571	1389	1039
572	1391	1036
573	1394	1035
574	1397	1032
575	1399	1029
576	1400	1026
577	1402	1023
578	1404	1020
579	1405	1017
580	1408	1016
581	1410	1013
582	1412	1009
583	1413	1006
584	1414	1003
585	1416	1000
586	1417	997
587	1418	994
588	1420	991
589	1421	988
590	1425	986
591	1427	983
592	1428	980
593	1430	977
594	1431	974
595	1433	971
596	1434	968
597	1435	965
598	1439	963
599	1440	960
600	1442	957
601	1443	954
602	1444	951
603	1446	948
604	1447	945
605	1448	942
606	1450	938
607	1451	936
608	1455	934
609	1456	931
610	1458	928
611	1459	925
612	1460	922
613	1462	919
614	1463	916
615	1465	913
616	1466	910
617	1469	908
618	1471	905
619	1473	902
620	1474	900
621	1476	897
622	1477	894
623	1479	891
624	1481	888
625	1483	886
626	1485	883
627	1486	880
628	1488	877
629	1489	874
630	1491	872
631	1492	869
632	1494	866
633	1495	863
634	1497	860
635	1499	858
636	1501	855
637	1502	852
638	1503	849
639	1505	846
640	1506	843
641	1507	840
642	1509	838
643	1510	835
644	1514	833
645	1515	830
646	1517	827
647	1518	824
648	1520	822
649	1521	819
650	1522	816
651	1524	813
652	1525	810
653	1528	808
654	1530	805
655	1531	803
656	1533	800
657	1534	797
658	1536	794
659	1537	792
660	1538	789
661	1540	786
662	1543	784
663	1545	782
664	1547	779
665	1548	776
666	1550	774
667	1552	771
668	1553	768
669	1555	765
670	1557	763
671	1560	761
672	1562	759
673	1564	756
674	1565	753
675	1567	751
676	1568	748
677	1569	745
678	1571	743
679	1574	740
680	1575	737
681	1576	735
682	1578	732
683	1579	729
684	1581	727
685	1582	724
686	1583	721
687	1585	719
688	1587	716
689	1589	713
690	1590	711
691	1592	708
692	1593	705
693	1595	703
694	1596	700
695	1597	697
696	1599	695
697	1602	693
698	1603	690
699	1605	688
700	1607	685
701	1608	682
702	1610	680
703	1612	677
704	1613	675
705	1615	672
706	1617	670
707	1619	667
708	1621	665
709	1622	662
710	1624	660
711	1625	657
712	1626	654
713	1628	652
714	1629	649
715	1633	647
716	1634	645
717	1636	642
718	1637	639
719	1638	637
720	1640	634
721	1641	632
722	1643	629
723	1645	627
724	1648	625
725	1650	622
726	1652	620
727	1653	617
728	1655	615
729	1656	612
730	1657	610
731	1659	607
732	1663	605
733	1664	603
734	1666	600
735	1668	598
736	1669	595
737	1671	593
738	1672	590
739	1673	588
740	1677	586
741	1678	583
742	1680	581
743	1681	578
744	1683	576
745	1684	573
746	1686	571
747	1687	568
748	1689	566
749	1692	564
750	1694	561
751	1695	559
752	1697	556
753	1698	554
754	1700	551
755	1701	549
756	1703	546
757	1704	544
758	1707	542
759	1709	539
760	1711	537
761	1712	534
762	1713	532
763	1715	529
764	1716	527
765	1718	524
766	1719	522
767	1723	520
768	1724	518
769	1726	515
770	1727	513
771	1728	510
772	1730	508
773	1734	506
774	1738	504
775	1740	502
776	1741	499
777	1742	497
778	1744	494
779	1745	492
780	1747	489
781	1748	487
782	1750	485
783	1753	483
784	1755	480
785	1757	478
786	1759	476
787	1761	473
788	1763	471
789	1765	469
790	1770	467
791	1772	465
792	1775	463
793	1778	461
794	1780	459
795	1785	457
796	1787	455
797	1789	452
798	1791	450
799	1792	448
800	1794	445
801	1796	443
802	1799	441
803	1800	438
804	1801	436
805	1803	434
806	1804	431
807	1806	429
808	1807	426
809	1808	424
810	1810	421
811	1813	419
812	1815	417
813	1816	415
814	1818	412
815	1819	410
816	1820	407
817	1822	405
818	1823	403
819	1824	400
820	1828	398
821	1830	396
822	1831	393
823	1833	391
824	1834	389
825	1836	386
826	1837	384
827	1838	382
828	1840	379
829	1843	377
830	1845	375
831	1846	372
832	1848	370
833	1849	368
834	1850	365
835	1852	363
836	1853	361
837	1855	358
838	1858	356
839	1859	354
840	1861	351
841	1862	349
842	1864	347
843	1865	344
844	1867	342
845	1868	340
846	1869	337
847	1872	335
848	1874	333
849	1876	331
850	1877	328
851	1879	326
852	1880	324
853	1882	321
854	1883	319
855	1885	317
856	1888	315
857	1889	312
858	1891	310
859	1892	308
860	1894	305
861	1895	303
862	1896	301
863	1898	298
864	1899	296
865	1903	294
866	1904	292
867	1906	289
868	1907	287
869	1908	285
870	1910	282
871	1911	280
872	1912	278
873	1914	275
874	1915	273
875	1919	271
876	1920	269
877	1922	267
878	1923	264
879	1925	262
880	1926	260
881	1928	257
882	1929	255
883	1932	253
884	1934	251
885	1935	249
886	1936	246
887	1938	244
888	1939	242
889	1941	239
890	1942	237
891	1944	235
892	1945	233
893	1948	231
894	1950	228
895	1951	226
896	1953	224
897	1954	222
898	1955	219
899	1957	217
900	1958	215
901	1960	212
902	1963	210
903	1965	208
904	1966	206
905	1968	204
906	1969	201
907	1971	199
908	1972	197
909	1974	195
910	1977	193
911	1979	190
912	1980	188
913	1981	186
914	1983	184
915	1984	181
916	1985	179
917	1987	177
918	1988	175
919	1990	173
920	1993	170
921	1994	168
922	1995	166
923	1997	164
924	1998	162
925	2000	159
926	2001	157
927	2003	155
928	2004	153
929	2007	151
930	2009	148
931	2010	146
932	2012	144
933	2013	142
934	2015	140
935	2016	137
936	2018	135
937	2020	133
938	2022	131
939	2024	129
940	2025	127
941	2027	124
942	2028	122
943	2029	120
944	2031	118
945	2032	116
946	2034	113
947	2037	111
948	2038	109
949	2040	107
950	2041	105
951	2042	103
952	2044	100
953	2045	98
954	2046	96
955	2048	94
956	2052	92
957	2053	90
958	2058	87
959	2059	85
960	2060	83
961	2062	81
962	2063	79
963	2067	77
964	2068	75
965	2070	72
966	2071	70
967	2073	68
968	2074	66
969	2076	64
970	2077	62
971	2079	59
972	2082	57
973	2084	55
974	2085	53
975	2086	51
976	2088	49
977	2089	47
978	2090	44
979	2092	42
980	2093	40
981	2097	38
982	2099	36
983	2101	34
984	2102	32
985	2103	29
986	2105	27
987	2106	25
988	2107	23
989	2109	21
990	2112	19
991	2114	17
992	2115	14
993	2117	12
994	2118	10
995	2120	8
996	2121	6
997	2122	4
998	2124	2
999	2128	0
